,index,Stop ID,Name,X,Y
0,258,1018500,San Pablo Av:W Grand Av,-122.2739678,37.8130485
1,259,1018250,San Pablo Av:25th St,-122.2746678,37.8152818
2,260,1018270,San Pablo Av:28th St,-122.2756759,37.8183907
3,261,1030080,San Pablo Av:30th St,-122.27658259999998,37.8212466
4,262,1018440,San Pablo Av:Brockhurst St,-122.2773183,37.8234826
5,263,1018310,San Pablo Av:34th St,-122.2778437,37.8251313
6,264,600690,San Pablo Av:37th St,-122.278655,37.82762260000001
7,265,600810,San Pablo Av:40th St,-122.2798835,37.83148679999999
8,266,600730,San Pablo Av:45th St,-122.2808578,37.8344793
9,267,600760,San Pablo Av:47th St,-122.2813159,37.8359245
10,268,1018340,San Pablo Av:54th St,-122.281852,37.8376074
11,269,1018350,San Pablo Av:56th St,-122.28235,37.839126
12,270,1030090,San Pablo Av:Stanford Av,-122.2830821,37.8414257
13,271,1018370,San Pablo Av:62nd St,-122.2842188,37.8448611
14,272,1018430,San Pablo Av:Alcatraz Av,-122.2849571,37.8472126
15,273,1018410,San Pablo Av:66th St,-122.2854534,37.8487457
16,274,304600,San Pablo Av:Haskell St,-122.28600159999998,37.8504739
17,275,304430,San Pablo Av:Ashby Av,-122.28667450000002,37.8525141
18,276,304620,San Pablo Av:Oregon St,-122.2874076,37.854847
19,277,304560,San Pablo Av:Grayson St,-122.2879111,37.856426
20,278,304650,San Pablo Av:Parker St,-122.2888561,37.8593157
21,279,306290,San Pablo Av:Dwight Way,-122.28954640000002,37.8614662
22,280,304480,San Pablo Av:Channing Way,-122.2899564,37.8627477
23,281,304440,San Pablo Av:Bancroft Way,-122.2906306,37.8648158
24,282,304400,San Pablo Av:Allston Way,-122.2912387,37.8667243
25,283,306310,San Pablo Av:University Av,-122.2920896,37.8687057
26,284,304410,San Pablo Av:Allston Way,-122.2914365,37.8664811
27,285,304450,San Pablo Av:Bancroft Way,-122.2908692,37.864711
28,286,304490,San Pablo Av:Channing Way,-122.2902994,37.8629302
29,287,306320,San Pablo Av:Dwight Way,-122.2895828,37.8607944
30,288,304660,San Pablo Av:Parker St,-122.2891699,37.8594543
31,289,9905300,San Pablo Av:Pardee St,-122.2884529,37.8572314
32,290,304610,San Pablo Av:Heinz Av,-122.2875767,37.8544557
33,291,304420,San Pablo Av:Ashby Av,-122.2867124,37.8518047
34,292,9904450,San Pablo Av:67th St,-122.2860722,37.8497892
35,293,1018400,San Pablo Av:65th St,-122.2855433,37.8481456
36,294,1018390,San Pablo Av:64th St,-122.2850235,37.8465442
37,295,1018380,San Pablo Av:62nd St,-122.2844548,37.8447886
38,296,1018490,San Pablo Av:Stanford Av,-122.2830466,37.8404772
39,297,1018360,San Pablo Av:56th St,-122.2825494,37.8389056
40,298,1018330,San Pablo Av:53rd St,-122.2820668,37.8373787
41,299,600750,San Pablo Av:47th St,-122.2813791,37.8352626
42,300,9902260,San Pablo Av:45th St,-122.2809219,37.8338398
43,301,600700,San Pablo Av:40th St,-122.279851,37.830609
44,302,1018320,San Pablo Av:36th St,-122.278826,37.826555
45,303,1018300,San Pablo Av:34th St,-122.2780093,37.8247867
46,304,1032100,San Pablo Av:32nd St,-122.2773332,37.822673
47,305,1030060,San Pablo Av:Market St,-122.2763699,37.8196844
48,306,1018470,San Pablo Av:Milton St,-122.2754822,37.8169815
49,307,1018520,San Pablo Av:West St,-122.27498909999998,37.815354
50,308,1018510,San Pablo Av:W Grand Av,-122.2742373,37.8130613
51,311,1031060,Thomas L Berkley Way (20th St):Telegraph Av,-122.2691672,37.8093136
52,315,1011370,Fruitvale BART Station,-122.2245687,37.7750001
53,318,103200,Santa Clara Av:Broadway,-122.238582,37.76368
54,319,103340,Santa Clara Av:Park St,-122.241692,37.765284
55,320,9903250,Santa Clara Av:Oak St,-122.2436002,37.7661675
56,321,9903220,Santa Clara Av:Walnut St,-122.246484,37.7674159
57,322,103430,Santa Clara Av:Willow St,-122.2489041,37.76848320000001
58,323,103230,Santa Clara Av:Chestnut St,-122.2517608,37.7697276
59,324,103270,Santa Clara Av:Grand St,-122.2560265,37.7715518
60,325,103370,Santa Clara Av:Stanton St,-122.2598869,37.7729128
61,326,9903260,Santa Clara Av:Morton St,-122.2623761,37.772979
62,327,103190,Santa Clara Av:Bay St,-122.2649204,37.77307570000001
63,328,9903280,Santa Clara Av:Mozart St,-122.2688652,37.7732031
64,329,103150,Santa Clara Av:8th St,-122.2725943,37.7733026
65,330,104310,Webster St:Santa Clara Av,-122.2767112,37.7736109
66,337,9903490,Broadway:10th St,-122.2726312,37.8017991
67,341,1006530,Broadway:28th St,-122.26343590000002,37.8164929
68,342,9903380,Broadway:30th St,-122.2620313,37.8188484
69,343,1006820,Broadway:Piedmont Av,-122.260797,37.820723
70,344,9903390,Broadway:Kaiser Hospital Entrance,-122.2590169,37.823542
71,345,1031610,Broadway:W MacArthur Blvd,-122.2581741,37.824916
72,349,1007440,College Av:Broadway,-122.251216,37.836855
73,350,1007520,College Av:Manila Av,-122.251261,37.840021
74,351,1007500,College Av:Lawton Av,-122.2515383,37.8427909
75,353,1031130,College Av:Miles Av,-122.2519663,37.8445417
76,354,9903450,College Av:Lawton Av,-122.2516226,37.8419268
77,355,9903440,College Av:Manila Av,-122.2513707,37.8397473
78,356,1007430,College Av:Broadway,-122.251347,37.836724
79,360,1006880,Broadway:W MacArthur Blvd,-122.2589821,37.82413010000001
80,361,1006270,Broadway:Mosswood Park,-122.25968,37.822987
81,362,9903930,Broadway:30th St,-122.2626031,37.818394700000006
82,363,1006540,Broadway:28th St,-122.2639233,37.8162277
83,367,1006310,Broadway:12th St (12th St BART Station),-122.272065,37.803051
84,373,104270,Webster St:Lincoln Av,-122.2768192,37.7748926
85,374,103420,Santa Clara Av:Webster St,-122.2764356,37.7732718
86,375,103140,Santa Clara Av:8th St,-122.2728666,37.7731592
87,376,103220,Santa Clara Av:Caroline St,-122.2682168,37.7730218
88,377,103180,Santa Clara Av:Bay St,-122.2647724,37.772879
89,378,9903270,Santa Clara Av:Morton St,-122.26185900000002,37.7728163
90,379,103360,Santa Clara Av:Stanton St,-122.2597881,37.7727734
91,380,103280,Santa Clara Av:Grand St,-122.2563168,37.7715369
92,381,9903210,Santa Clara Av:Chestnut St,-122.2515937,37.76948400000001
93,382,9903300,Santa Clara Av:Willow St,-122.2488988,37.7683048
94,383,103380,Santa Clara Av:Walnut St,-122.2463336,37.7671924
95,384,103330,Santa Clara Av:Oak St,-122.2437945,37.766038
96,385,103350,Santa Clara Av:Park St,-122.242085,37.765368
97,386,9903230,Santa Clara Av:Everett St,-122.2403941,37.7644655
98,387,100460,Broadway:Santa Clara Av,-122.2380619,37.763731
99,388,9903240,Broadway:Eagle Av,-122.2353417,37.7669756
