NAME,COUNTY,HAS_RAIL,HAS_FERRY,HAS_BUS
Benicia,Solano,0,0,1
Vallejo,Solano,0,1,1
Rio Vista,Solano,0,0,1
Colusa,Colusa,0,0,0
Williams,Colusa,0,0,0
Avenal,Kings,0,0,0
Corcoran,Kings,0,0,0
Hanford,Kings,0,0,0
Hanford,Kings,0,0,0
Lemoore,Kings,0,0,0
Hanford,Kings,0,0,0
Hanford,Kings,0,0,0
Vallejo,Solano,0,0,0
Suisun City,Solano,0,0,0
Fairfield,Solano,1,0,1
Vacaville,Solano,0,0,0
Dixon,Solano,0,0,0
Dixon,Solano,0,0,0
Dixon,Solano,0,0,1
Vallejo,Solano,0,0,0
Guadalupe,Santa Barbara,0,0,1
Lemoore,Kings,0,0,0
Corcoran,Kings,0,0,0
Hanford,Kings,0,0,0
Hanford,Kings,0,0,0
Hanford,Kings,0,0,0
Vacaville,Solano,0,0,1
Calexico,Imperial,0,0,0
Holtville,Imperial,0,0,0
Brawley,Imperial,0,0,0
Calipatria,Imperial,0,0,0
Calipatria,Imperial,0,0,0
Calipatria,Imperial,0,0,0
San Clemente,Orange,1,0,1
Dana Point,Orange,0,0,1
San Juan Capistrano,Orange,1,0,1
Laguna Niguel,Orange,1,0,1
Aliso Viejo,Orange,0,0,1
Laguna Beach,Orange,0,0,1
Laguna Woods,Orange,0,0,1
Laguna Hills,Orange,0,0,1
Rancho Santa Margarita,Orange,0,0,1
Mission Viejo,Orange,0,0,1
Costa Mesa,Orange,0,0,1
Lake Forest,Orange,0,0,1
Fountain Valley,Orange,0,0,1
Huntington Beach,Orange,0,0,1
Tustin,Orange,1,0,1
Irvine,Orange,1,0,1
Westminster,Orange,0,0,1
Santa Ana,Orange,1,0,1
Seal Beach,Orange,0,0,1
Garden Grove,Orange,0,0,1
Stanton,Orange,0,0,1
Los Alamitos,Orange,0,0,1
Villa Park,Orange,0,0,1
Cypress,Orange,0,0,1
Orange,Orange,1,0,1
La Palma,Orange,0,0,1
Anaheim,Orange,1,0,1
Buena Park,Orange,1,0,1
Yorba Linda,Orange,0,0,1
Fullerton,Orange,1,0,1
La Habra,Orange,0,0,1
Brea,Orange,0,0,1
Coalinga,Fresno,0,0,0
Coalinga,Fresno,0,0,0
Huron,Fresno,0,0,1
Huron,Fresno,0,0,0
Selma,Fresno,0,0,0
Parlier,Fresno,0,0,0
Sanger,Fresno,0,0,0
Reedley,Fresno,0,0,0
Clovis,Fresno,0,0,0
Firebaugh,Fresno,0,0,1
Gilroy,Santa Clara,1,0,1
Morgan Hill,Santa Clara,1,0,1
Monte Sereno,Santa Clara,0,0,1
Los Gatos,Santa Clara,0,0,1
Saratoga,Santa Clara,0,0,1
Campbell,Santa Clara,1,0,1
Cupertino,Santa Clara,0,0,1
Los Altos Hills,Santa Clara,0,0,1
San Jose,Santa Clara,0,0,0
Los Altos,Santa Clara,0,0,1
Santa Clara,Santa Clara,1,0,1
Sunnyvale,Santa Clara,1,0,1
San Jose,Santa Clara,1,0,1
Milpitas,Santa Clara,1,0,1
Mountain View,Santa Clara,1,0,1
Palo Alto,Santa Clara,1,0,1
Crescent City,Del Norte,0,0,1
Coalinga,Fresno,0,0,0
Parlier,Fresno,0,0,0
Placentia,Orange,0,0,1
Portola,Plumas,0,0,1
Mountain View,Santa Clara,0,0,0
Santa Clara,Santa Clara,0,0,0
San Jose,Santa Clara,0,0,0
Mendota,Fresno,0,0,1
Temecula,Riverside,0,0,1
Blythe,Riverside,0,0,1
Murrieta,Riverside,0,0,1
Wildomar,Riverside,0,0,1
Blythe,Riverside,0,0,1
Canyon Lake,Riverside,0,0,1
Coachella,Riverside,0,0,1
La Quinta,Riverside,0,0,1
Indian Wells,Riverside,0,0,1
Lake Elsinore,Riverside,0,0,1
Menifee,Riverside,0,0,1
Hemet,Riverside,0,0,1
Rolling Hills,Los Angeles,0,0,0
Hemet,Riverside,0,0,0
Rolling Hills Estates,Los Angeles,0,0,1
Lomita,Los Angeles,0,0,1
Palm Desert,Riverside,0,0,1
Indio,Riverside,0,0,1
Signal Hill,Los Angeles,0,0,1
Rancho Mirage,Riverside,0,0,1
San Jacinto,Riverside,0,0,1
Lakewood,Los Angeles,0,0,1
Perris,Riverside,1,0,1
Artesia,Los Angeles,0,0,1
Corona,Riverside,1,0,1
Long Beach,Los Angeles,1,0,1
Carson,Los Angeles,0,0,1
Torrance,Los Angeles,0,0,1
Cerritos,Los Angeles,0,0,1
Cathedral City,Riverside,0,0,1
Chino Hills,San Bernardino,0,0,1
Lawndale,Los Angeles,0,0,1
Manhattan Beach,Los Angeles,0,0,1
Bellflower,Los Angeles,0,0,1
Gardena,Los Angeles,0,0,1
Compton,Los Angeles,1,0,1
La Mirada,Los Angeles,0,0,1
El Segundo,Los Angeles,1,0,1
Palm Springs,Riverside,0,0,1
Norwalk,Los Angeles,1,0,1
Hawthorne,Los Angeles,1,0,1
Lynwood,Los Angeles,1,0,1
Norco,Riverside,0,0,1
South Gate,Los Angeles,0,0,1
Cudahy,Los Angeles,0,0,1
Downey,Los Angeles,1,0,1
Santa Fe Springs,Los Angeles,0,0,1
La Habra Heights,Los Angeles,0,0,0
Bell Gardens,Los Angeles,0,0,1
Inglewood,Los Angeles,0,0,1
Inglewood,Los Angeles,0,0,0
Moreno Valley,Riverside,0,0,1
Desert Hot Springs,Riverside,0,0,1
Huntington Park,Los Angeles,0,0,1
Maywood,Los Angeles,0,0,1
Bell,Los Angeles,0,0,1
Calimesa,Riverside,0,0,1
Whittier,Los Angeles,0,0,1
Vernon,Los Angeles,0,0,1
Riverside,Riverside,1,0,1
Commerce,Los Angeles,1,0,1
Diamond Bar,Los Angeles,0,0,1
Pomona,Los Angeles,1,0,1
Pico Rivera,Los Angeles,0,0,1
Ontario,San Bernardino,1,0,1
Whittier,Los Angeles,0,0,0
Eastvale,Riverside,0,0,1
Banning,Riverside,0,0,1
Culver City,Los Angeles,1,0,1
Montebello,Los Angeles,1,0,1
Redlands,San Bernardino,0,0,0
La Puente,Los Angeles,0,0,1
Walnut,Los Angeles,0,0,1
Montclair,San Bernardino,1,0,1
Industry,Los Angeles,1,0,1
South El Monte,Los Angeles,0,0,1
Loma Linda,San Bernardino,0,0,1
Malibu,Los Angeles,0,0,1
Redlands,San Bernardino,0,0,0
Redlands,San Bernardino,0,0,0
Redlands,San Bernardino,0,0,0
Monterey Park,Los Angeles,0,0,1
Redlands,San Bernardino,0,0,0
Redlands,San Bernardino,0,0,0
Redlands,San Bernardino,0,0,0
Yucaipa,San Bernardino,0,0,1
West Covina,Los Angeles,0,0,1
Colton,San Bernardino,0,0,0
Colton,San Bernardino,0,0,0
Rosemead,Los Angeles,0,0,1
Colton,San Bernardino,0,0,0
Colton,San Bernardino,0,0,0
Colton,San Bernardino,0,0,0
Colton,San Bernardino,0,0,0
Colton,San Bernardino,0,0,1
West Hollywood,Los Angeles,0,0,1
Colton,San Bernardino,0,0,0
Colton,San Bernardino,0,0,0
Colton,San Bernardino,0,0,0
El Monte,Los Angeles,1,0,1
Redlands,San Bernardino,0,0,1
Colton,San Bernardino,0,0,0
Covina,Los Angeles,1,0,1
Baldwin Park,Los Angeles,1,0,1
Alhambra,Los Angeles,0,0,1
Beverly Hills,Los Angeles,0,0,1
San Gabriel,Los Angeles,0,0,1
Upland,San Bernardino,1,0,1
Temple City,Los Angeles,0,0,1
South Pasadena,Los Angeles,1,0,1
San Marino,Los Angeles,0,0,1
