,CITY,COUNTY,HAS_RAIL,HAS_FERRY,HAS_BUS,HAS_TRANSIT
0,Benicia,Solano,0,0,1,1
1,Vallejo,Solano,0,1,1,1
2,Rio Vista,Solano,0,0,1,1
3,Colusa,Colusa,0,0,0,0
4,Williams,Colusa,0,0,0,0
5,Avenal,Kings,0,0,0,0
6,Corcoran,Kings,0,0,0,0
7,Hanford,Kings,0,0,0,0
8,Lemoore,Kings,0,0,0,0
9,Suisun City,Solano,1,0,1,1
10,Fairfield,Solano,1,0,1,1
11,Vacaville,Solano,0,0,1,1
12,Dixon,Solano,0,0,1,1
13,Guadalupe,Santa Barbara,0,0,1,1
14,Calexico,Imperial,0,0,0,0
15,Holtville,Imperial,0,0,0,0
16,Brawley,Imperial,0,0,0,0
17,Calipatria,Imperial,0,0,0,0
18,San Clemente,Orange,1,0,1,1
19,Dana Point,Orange,0,0,1,1
20,San Juan Capistrano,Orange,1,0,1,1
21,Laguna Niguel,Orange,1,0,1,1
22,Aliso Viejo,Orange,0,0,1,1
23,Laguna Beach,Orange,0,0,1,1
24,Laguna Woods,Orange,0,0,1,1
25,Laguna Hills,Orange,0,0,1,1
26,Rancho Santa Margarita,Orange,0,0,1,1
27,Mission Viejo,Orange,0,0,1,1
28,Costa Mesa,Orange,0,0,1,1
29,Lake Forest,Orange,0,0,1,1
30,Fountain Valley,Orange,0,0,1,1
31,Huntington Beach,Orange,0,0,1,1
32,Tustin,Orange,1,0,1,1
33,Irvine,Orange,1,0,1,1
34,Westminster,Orange,0,0,1,1
35,Santa Ana,Orange,1,0,1,1
36,Seal Beach,Orange,0,0,1,1
37,Garden Grove,Orange,0,0,1,1
38,Stanton,Orange,0,0,1,1
39,Los Alamitos,Orange,0,0,1,1
40,Villa Park,Orange,0,0,1,1
41,Cypress,Orange,0,0,1,1
42,Orange,Orange,1,0,1,1
43,La Palma,Orange,0,0,1,1
44,Anaheim,Orange,1,0,1,1
45,Buena Park,Orange,1,0,1,1
46,Yorba Linda,Orange,0,0,1,1
47,Fullerton,Orange,1,0,1,1
48,La Habra,Orange,0,0,1,1
49,Brea,Orange,0,0,1,1
50,Coalinga,Fresno,0,0,1,1
51,Huron,Fresno,0,0,1,1
52,Selma,Fresno,0,0,1,1
53,Parlier,Fresno,0,0,1,1
54,Sanger,Fresno,0,0,1,1
55,Reedley,Fresno,0,0,1,1
56,Clovis,Fresno,0,0,1,1
57,Firebaugh,Fresno,0,0,1,1
58,Gilroy,Santa Clara,1,0,1,1
59,Morgan Hill,Santa Clara,1,0,1,1
60,Monte Sereno,Santa Clara,0,0,1,1
61,Los Gatos,Santa Clara,0,0,1,1
62,Saratoga,Santa Clara,0,0,1,1
63,Campbell,Santa Clara,1,0,1,1
64,Cupertino,Santa Clara,0,0,1,1
65,Los Altos Hills,Santa Clara,0,0,1,1
66,San Jose,Santa Clara,1,0,1,1
67,Los Altos,Santa Clara,0,0,1,1
68,Santa Clara,Santa Clara,1,0,1,1
69,Sunnyvale,Santa Clara,1,0,1,1
70,Milpitas,Santa Clara,1,0,1,1
71,Mountain View,Santa Clara,1,0,1,1
72,Palo Alto,Santa Clara,1,0,1,1
73,Crescent City,Del Norte,0,0,1,1
74,Placentia,Orange,0,0,1,1
75,Portola,Plumas,0,0,1,1
76,Mendota,Fresno,0,0,1,1
77,Temecula,Riverside,0,0,1,1
78,Blythe,Riverside,0,0,1,1
79,Murrieta,Riverside,0,0,1,1
80,Wildomar,Riverside,0,0,1,1
81,Canyon Lake,Riverside,0,0,1,1
82,Coachella,Riverside,0,0,1,1
83,La Quinta,Riverside,0,0,1,1
84,Indian Wells,Riverside,0,0,1,1
85,Lake Elsinore,Riverside,0,0,1,1
86,Menifee,Riverside,0,0,1,1
87,Hemet,Riverside,0,0,1,1
88,Rolling Hills,Los Angeles,0,0,0,0
89,Rolling Hills Estates,Los Angeles,0,0,1,1
90,Lomita,Los Angeles,0,0,1,1
91,Palm Desert,Riverside,0,0,1,1
92,Indio,Riverside,0,0,1,1
93,Signal Hill,Los Angeles,0,0,1,1
94,Rancho Mirage,Riverside,0,0,1,1
95,San Jacinto,Riverside,0,0,1,1
96,Lakewood,Los Angeles,0,0,1,1
97,Perris,Riverside,1,0,1,1
98,Artesia,Los Angeles,0,0,1,1
99,Corona,Riverside,1,0,1,1
100,Long Beach,Los Angeles,1,0,1,1
101,Carson,Los Angeles,0,0,1,1
102,Torrance,Los Angeles,0,0,1,1
103,Cerritos,Los Angeles,0,0,1,1
104,Cathedral City,Riverside,0,0,1,1
105,Chino Hills,San Bernardino,0,0,1,1
106,Lawndale,Los Angeles,0,0,1,1
107,Manhattan Beach,Los Angeles,0,0,1,1
108,Bellflower,Los Angeles,0,0,1,1
109,Gardena,Los Angeles,0,0,1,1
110,Compton,Los Angeles,1,0,1,1
111,La Mirada,Los Angeles,0,0,1,1
112,El Segundo,Los Angeles,1,0,1,1
113,Palm Springs,Riverside,0,0,1,1
114,Norwalk,Los Angeles,1,0,1,1
115,Hawthorne,Los Angeles,1,0,1,1
116,Lynwood,Los Angeles,1,0,1,1
117,Norco,Riverside,0,0,1,1
118,South Gate,Los Angeles,0,0,1,1
119,Cudahy,Los Angeles,0,0,1,1
120,Downey,Los Angeles,1,0,1,1
121,Santa Fe Springs,Los Angeles,0,0,1,1
122,La Habra Heights,Los Angeles,0,0,0,0
123,Bell Gardens,Los Angeles,0,0,1,1
124,Inglewood,Los Angeles,0,0,1,1
125,Moreno Valley,Riverside,0,0,1,1
126,Desert Hot Springs,Riverside,0,0,1,1
127,Huntington Park,Los Angeles,0,0,1,1
128,Maywood,Los Angeles,0,0,1,1
129,Bell,Los Angeles,0,0,1,1
130,Calimesa,Riverside,0,0,1,1
131,Whittier,Los Angeles,0,0,1,1
132,Vernon,Los Angeles,0,0,1,1
133,Riverside,Riverside,1,0,1,1
134,Commerce,Los Angeles,1,0,1,1
135,Diamond Bar,Los Angeles,0,0,1,1
136,Pomona,Los Angeles,1,0,1,1
137,Pico Rivera,Los Angeles,0,0,1,1
138,Ontario,San Bernardino,1,0,1,1
139,Eastvale,Riverside,0,0,1,1
140,Banning,Riverside,0,0,1,1
141,Culver City,Los Angeles,1,0,1,1
142,Montebello,Los Angeles,1,0,1,1
143,Redlands,San Bernardino,0,0,1,1
144,La Puente,Los Angeles,0,0,1,1
145,Walnut,Los Angeles,0,0,1,1
146,Montclair,San Bernardino,1,0,1,1
147,Industry,Los Angeles,1,0,1,1
148,South El Monte,Los Angeles,0,0,1,1
149,Loma Linda,San Bernardino,0,0,1,1
150,Malibu,Los Angeles,0,0,1,1
151,Monterey Park,Los Angeles,0,0,1,1
152,Yucaipa,San Bernardino,0,0,1,1
153,West Covina,Los Angeles,0,0,1,1
154,Colton,San Bernardino,0,0,1,1
155,Rosemead,Los Angeles,0,0,1,1
156,West Hollywood,Los Angeles,0,0,1,1
157,El Monte,Los Angeles,1,0,1,1
158,Covina,Los Angeles,1,0,1,1
159,Baldwin Park,Los Angeles,1,0,1,1
160,Alhambra,Los Angeles,0,0,1,1
161,Beverly Hills,Los Angeles,0,0,1,1
162,San Gabriel,Los Angeles,0,0,1,1
163,Upland,San Bernardino,1,0,1,1
164,Temple City,Los Angeles,0,0,1,1
165,South Pasadena,Los Angeles,1,0,1,1
166,San Marino,Los Angeles,0,0,1,1
167,Irwindale,Los Angeles,1,0,1,1
168,Bradbury,Los Angeles,0,0,0,0
169,Rialto,San Bernardino,1,0,1,1
170,San Dimas,Los Angeles,0,0,1,1
171,La Verne,Los Angeles,0,0,1,1
172,Claremont,Los Angeles,1,0,1,1
173,Westlake Village,Los Angeles,0,0,1,1
174,Agoura Hills,Los Angeles,0,0,1,1
175,Calabasas,Los Angeles,0,0,1,1
176,Azusa,Los Angeles,1,0,1,1
177,Hidden Hills,Los Angeles,0,0,0,0
178,Sierra Madre,Los Angeles,0,0,1,1
179,Arcadia,Los Angeles,1,0,1,1
180,Glendora,Los Angeles,0,0,1,1
181,Fontana,San Bernardino,1,0,1,1
182,Yucca Valley,San Bernardino,0,0,0,0
183,Duarte,Los Angeles,1,0,1,1
184,Monrovia,Los Angeles,1,0,1,1
185,San Bernardino,San Bernardino,1,0,1,1
186,Big Bear Lake,San Bernardino,0,0,1,1
187,Pasadena,Los Angeles,1,0,1,1
188,Twentynine Palms,San Bernardino,0,0,0,0
189,Glendale,Los Angeles,1,0,1,1
190,San Fernando,Los Angeles,0,0,1,1
191,Santa Clarita,Los Angeles,1,0,0,1
192,Hesperia,San Bernardino,0,0,1,1
193,Adelanto,San Bernardino,0,0,1,1
194,Victorville,San Bernardino,0,0,1,1
195,Palmdale,Los Angeles,1,0,0,1
196,Lancaster,Los Angeles,1,0,1,1
197,Needles,San Bernardino,0,0,1,1
198,King City,Monterey,0,0,1,1
199,Greenfield,Monterey,0,0,1,1
200,Soledad,Monterey,0,0,1,1
201,Gonzales,Monterey,0,0,1,1
202,Carmel-by-the-Sea,Monterey,0,0,1,1
203,Monterey,Monterey,0,0,1,1
204,Del Rey Oaks,Monterey,0,0,1,1
205,Pacific Grove,Monterey,0,0,1,1
206,Seaside,Monterey,0,0,1,1
207,Salinas,Monterey,0,0,1,1
208,Marina,Monterey,0,0,1,1
209,Hollister,San Benito,0,0,1,1
210,San Juan Bautista,San Benito,0,0,1,1
211,Madera,Madera,0,0,1,1
212,Chowchilla,Madera,0,0,1,1
213,Bishop,Inyo,0,0,1,1
214,Newark,Alameda,0,0,1,1
215,Union City,Alameda,1,0,1,1
216,Fremont,Alameda,1,0,1,1
217,Mammoth Lakes,Mono,0,0,1,1
218,Hayward,Alameda,1,0,1,1
219,Pleasanton,Alameda,1,0,1,1
220,Livermore,Alameda,1,0,1,1
221,San Leandro,Alameda,1,0,1,1
222,Dublin,Alameda,0,0,1,1
223,San Ramon,Contra Costa,0,0,1,1
224,Alameda,Alameda,0,1,1,1
225,Piedmont,Alameda,0,0,1,1
226,Danville,Contra Costa,0,0,1,1
227,Emeryville,Alameda,1,0,1,1
228,Moraga,Contra Costa,0,0,1,1
229,Oakland,Alameda,1,1,1,1
230,Albany,Alameda,0,0,1,1
231,Berkeley,Alameda,1,1,1,1
232,Orinda,Contra Costa,1,0,1,1
233,El Cerrito,Contra Costa,1,0,1,1
234,Lafayette,Contra Costa,1,0,1,1
235,Walnut Creek,Contra Costa,1,0,1,1
236,Clayton,Contra Costa,0,0,1,1
237,Richmond,Contra Costa,1,0,1,1
238,Brentwood,Contra Costa,0,0,0,0
239,San Pablo,Contra Costa,0,0,1,1
240,Pleasant Hill,Contra Costa,0,0,1,1
241,Martinez,Contra Costa,1,0,1,1
242,Antioch,Contra Costa,1,0,1,1
243,Oakley,Contra Costa,0,0,0,0
244,Concord,Contra Costa,1,0,1,1
245,Pinole,Contra Costa,0,0,1,1
246,Pittsburg,Contra Costa,1,0,1,1
247,Hercules,Contra Costa,0,0,1,1
248,Angels Camp,Calaveras,0,0,1,1
249,American Canyon,Napa,0,0,0,0
250,Napa,Napa,0,0,0,0
251,Jackson,Amador,0,0,1,1
252,Ione,Amador,0,0,1,1
253,Sutter Creek,Amador,0,0,1,1
254,Yountville,Napa,0,0,0,0
255,Amador City,Amador,0,0,1,1
256,Plymouth,Amador,0,0,1,1
257,St. Helena,Napa,0,0,0,0
258,Calistoga,Napa,0,0,1,1
259,Roseville,Placer,1,0,1,1
260,Placerville,El Dorado,0,0,1,1
261,Loomis,Placer,0,0,0,0
262,Rocklin,Placer,1,0,0,1
263,Lincoln,Placer,0,0,0,0
264,Auburn,Placer,1,0,1,1
265,Point Arena,Mendocino,0,0,1,1
266,South Lake Tahoe,El Dorado,0,0,1,1
267,Clearlake,Lake,0,0,1,1
268,Lakeport,Lake,0,0,1,1
269,Colfax,Placer,0,0,0,0
270,Ukiah,Mendocino,0,0,1,1
271,Grass Valley,Nevada,0,0,1,1
272,Nevada City,Nevada,0,0,1,1
273,Gridley,Butte,0,0,0,0
274,Willits,Mendocino,0,0,1,1
275,Truckee,Nevada,0,0,1,1
276,Fort Bragg,Mendocino,0,0,1,1
277,Biggs,Butte,0,0,0,0
278,Willows,Glenn,0,0,0,0
279,Oroville,Butte,0,0,0,0
280,Chico,Butte,0,0,0,0
281,Orland,Glenn,0,0,0,0
282,Paradise,Butte,0,0,0,0
283,Susanville,Lassen,0,0,1,1
284,Beaumont,Riverside,0,0,1,1
285,Chino,San Bernardino,0,0,1,1
286,Rancho Cucamonga,San Bernardino,1,0,1,1
287,Highland,San Bernardino,0,0,1,1
288,Barstow,San Bernardino,0,0,1,1
289,Sand City,Monterey,0,0,1,1
290,Los Angeles,Los Angeles,1,0,1,1
291,Palos Verdes Estates,Los Angeles,0,0,1,1
292,Redondo Beach,Los Angeles,1,0,1,1
293,La Canada Flintridge,Los Angeles,0,0,1,1
294,Burbank,Los Angeles,1,0,1,1
295,Jurupa Valley,Riverside,1,0,1,1
296,Paramount,Los Angeles,0,0,1,1
297,Hermosa Beach,Los Angeles,0,0,1,1
298,Newport Beach,Orange,0,0,1,1
299,Rancho Palos Verdes,Los Angeles,0,0,1,1
300,Santa Monica,Los Angeles,1,0,1,1
301,San Joaquin,Fresno,0,0,0,0
