,stop_id,stop_name,stop_lon,stop_lat,agency,route_id,route_short_name,route_long_name
0,00023,Amar Rd and Lark Ellen Ave E,-117.919315,34.035002,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
1,00025,Amar Rd and Lemon Ave E,-117.874485,34.03533,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
2,00036,Amar Rd and Sunkist Ave E,-117.970413,34.050585,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
3,00553,Amar Rd and Amber Valley Dr E,-117.888884,34.030068,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
4,00555,Amar Rd and Azusa Ave E,-117.91332299999999,34.030536,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
5,00560,Amar Rd and Braes River Dr E,-117.879042,34.034661,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
6,00565,Amar Rd and California Ave E,-117.958629,34.041878000000004,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
7,00566,Amar Rd and Countryside Dr W,-117.86932900000001,34.036478,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
8,00567,Amar Rd and Creekside Dr E,-117.885263,34.033004999999996,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
9,00569,Amar Rd and Del Valle Ave E,-117.943554,34.036607000000004,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
10,00571,Amar Rd and Echelon Ave E,-117.934276,34.036075,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
11,00577,Amar Rd and Greycliff Ave E,-117.937445,34.0362,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
12,00579,Amar Rd and Hacienda Blvd E,-117.949551,34.037005,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
13,00581,Amar Rd and Heidleburg Ave E,-117.85493600000001,34.039646000000005,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
14,00583,Amar Rd and Indian Summer Ave E,-117.929926,34.035855,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
15,00587,Amar Rd and Meadow Pass Dr  E,-117.859319,34.037918,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
16,00591,Amar Rd and Nogales Ave E,-117.89513799999999,34.027597,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
17,00593,Amar Rd and Orange Ave E,-117.967717,34.04855,Foothill Transit,486-150,486,Cal Poly  - El Monte Station
