,stop_id,stop_name,stop_lon,stop_lat,agency,route_id,route_short_name,route_long_name
0,1,Paramount / Slauson,-118.11311299999998,33.973248,Metro - Los Angeles,108-13122,108,Metro Local Line
1,57,California Yacht Club,-118.445893,33.983634,Metro - Los Angeles,108-13122,108,Metro Local Line
2,59,Admiralty / Marina City,-118.452716,33.985213,Metro - Los Angeles,108-13122,108,Metro Local Line
3,60,Admiralty / Bali,-118.44161799999999,33.981821999999994,Metro - Los Angeles,108-13122,108,Metro Local Line
4,62,Admiralty / Palawan,-118.45741000000001,33.983290999999994,Metro - Los Angeles,108-13122,108,Metro Local Line
5,194,Atlantic / Slauson,-118.185368,33.987409,Metro - Los Angeles,108-13122,108,Metro Local Line
6,496,Buckingham / Hannum,-118.38233600000001,33.987356,Metro - Los Angeles,108-13122,108,Metro Local Line
7,497,Buckingham / Slauson,-118.380481,33.988749,Metro - Los Angeles,108-13122,108,Metro Local Line
8,498,Buckingham / Sumner,-118.383967,33.984199,Metro - Los Angeles,108-13122,108,Metro Local Line
9,616,Centinela / Braddock,-118.41901499999999,33.989352000000004,Metro - Los Angeles,108-13122,108,Metro Local Line
10,620,Centinela / Lucille,-118.4114,33.983058,Metro - Los Angeles,108-13122,108,Metro Local Line
11,621,Centinela / Marina Fwy,-118.413795,33.985110999999996,Metro - Los Angeles,108-13122,108,Metro Local Line
12,1539,Slauson / Harbor Transitway Station,-118.28078000000001,33.989055,Metro - Los Angeles,108-13122,108,Metro Local Line
13,1636,Slauson / Alcoa,-118.208087,33.989057,Metro - Los Angeles,108-13122,108,Metro Local Line
14,1637,Slauson / Avalon,-118.26540700000001,33.989126,Metro - Los Angeles,108-13122,108,Metro Local Line
15,1638,Slauson / Boxford,-118.151227,33.984588,Metro - Los Angeles,108-13122,108,Metro Local Line
16,1639,Slauson / Compton,-118.247403,33.989208000000005,Metro - Los Angeles,108-13122,108,Metro Local Line
17,1640,Slauson / Garfield,-118.14183200000001,33.982283,Metro - Los Angeles,108-13122,108,Metro Local Line
18,1641,Slauson / Hooper,-118.252328,33.989206,Metro - Los Angeles,108-13122,108,Metro Local Line
19,1642,Slauson / Long Beach,-118.243622,33.989158,Metro - Los Angeles,108-13122,108,Metro Local Line
20,1643,Slauson / Malt,-118.145575,33.983471,Metro - Los Angeles,108-13122,108,Metro Local Line
21,1644,Slauson / McKinley,-118.26098999999999,33.989171,Metro - Los Angeles,108-13122,108,Metro Local Line
22,1645,Slauson / Regent,-118.234976,33.989090000000004,Metro - Los Angeles,108-13122,108,Metro Local Line
23,1646,Slauson / Central,-118.25666899999999,33.989194,Metro - Los Angeles,108-13122,108,Metro Local Line
24,1647,Slauson / Eastern,-118.16231299999998,33.985739,Metro - Los Angeles,108-13122,108,Metro Local Line
25,1648,Slauson / San Pedro,-118.270257,33.989118,Metro - Los Angeles,108-13122,108,Metro Local Line
26,1649,Slauson / Santa Fe,-118.230503,33.989096,Metro - Los Angeles,108-13122,108,Metro Local Line
27,1650,Slauson / Telegraph,-118.123287,33.975137,Metro - Los Angeles,108-13122,108,Metro Local Line
28,1651,Slauson / Towne,-118.267703,33.989115000000005,Metro - Los Angeles,108-13122,108,Metro Local Line
29,1652,Slauson / Zambrano,-118.15419399999999,33.984906,Metro - Los Angeles,108-13122,108,Metro Local Line
30,2513,Slauson / Holmes,-118.240821,33.989103,Metro - Los Angeles,108-13122,108,Metro Local Line
31,2704,Jefferson / Campus Center,-118.40877900000001,33.981331,Metro - Los Angeles,108-13122,108,Metro Local Line
32,2705,Jefferson / Mesmer,-118.40130400000001,33.986181,Metro - Los Angeles,108-13122,108,Metro Local Line
33,2706,Jefferson / Slauson,-118.39735800000001,33.988717,Metro - Los Angeles,108-13122,108,Metro Local Line
34,3247,Mindanao / Marina,-118.43786399999999,33.983086,Metro - Los Angeles,108-13122,108,Metro Local Line
35,3248,Mindanao / Lincoln,-118.43874199999999,33.98067,Metro - Los Angeles,108-13122,108,Metro Local Line
36,3249,Mindanao / Admiralty,-118.43971499999999,33.979903,Metro - Los Angeles,108-13122,108,Metro Local Line
37,3250,Mindanao / Alla,-118.43336399999998,33.987878,Metro - Los Angeles,108-13122,108,Metro Local Line
38,3251,Mindanao / Glencoe,-118.43722,33.985372,Metro - Los Angeles,108-13122,108,Metro Local Line
39,4299,Paramount / Slauson,-118.113211,33.972825,Metro - Los Angeles,108-13122,108,Metro Local Line
40,6243,Short / Centinela,-118.423455,33.992739,Metro - Los Angeles,108-13122,108,Metro Local Line
41,6244,Short / Mascagni,-118.427733,33.990624,Metro - Los Angeles,108-13122,108,Metro Local Line
42,6256,Slauson / Downey,-118.20473500000001,33.989021,Metro - Los Angeles,108-13122,108,Metro Local Line
43,6258,Slauson / Ruthelen,-118.31226699999999,33.989016,Metro - Los Angeles,108-13122,108,Metro Local Line
44,6259,Slauson / Boyle,-118.21300900000001,33.98907,Metro - Los Angeles,108-13122,108,Metro Local Line
45,6260,Slauson / Triangle,-118.13515100000001,33.979359,Metro - Los Angeles,108-13122,108,Metro Local Line
46,6261,Slauson / West,-118.335434,33.988872,Metro - Los Angeles,108-13122,108,Metro Local Line
47,6262,Slauson / Atlantic,-118.185255,33.987003,Metro - Los Angeles,108-13122,108,Metro Local Line
48,6263,Slauson / Bickett,-118.215744,33.989067999999996,Metro - Los Angeles,108-13122,108,Metro Local Line
49,6264,Slauson / Carmelita,-118.19673700000001,33.988161,Metro - Los Angeles,108-13122,108,Metro Local Line
50,6265,Slauson / Corona,-118.19457299999999,33.987939000000004,Metro - Los Angeles,108-13122,108,Metro Local Line
51,6266,Slauson / Gage,-118.127052,33.975804,Metro - Los Angeles,108-13122,108,Metro Local Line
52,6267,Slauson / Everett,-118.20105600000001,33.988593,Metro - Los Angeles,108-13122,108,Metro Local Line
53,6268,Slauson / Fishburn,-118.18968899999999,33.987444,Metro - Los Angeles,108-13122,108,Metro Local Line
54,6269,Slauson / Gifford,-118.19241799999999,33.987716999999996,Metro - Los Angeles,108-13122,108,Metro Local Line
55,6272,Slauson / Loma Vista,-118.198393,33.98834,Metro - Los Angeles,108-13122,108,Metro Local Line
