,stop_id,stop_name,stop_lon,stop_lat,agency,route_id,route_short_name,route_long_name
0,5,SANTA MONICA EB & 6TH NS,-118.49333200000001,34.017885,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
1,6,SANTA MONICA EB & CENTINELA FS,-118.467514,34.038631,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
2,8,UCLA HILGARD TERMINAL,-118.43842,34.071141,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
3,21,4TH NB & COLORADO FS (Downtown SM Station),-118.49245,34.014137,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
4,149,SANTA MONICA EB & YALE FS,-118.47128300000001,34.035664000000004,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
5,150,SANTA MONICA EB & WESTGATE NS,-118.459252,34.042294,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
6,151,SANTA MONICA EB & BUNDY NS,-118.463329,34.040462,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
7,170,WESTWOOD NB & LE CONTE NS,-118.445227,34.063626,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
8,187,MAIN NB & HILL NS,-118.482504,34.000982,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
9,227,SANTA MONICA EB & 4TH FS,-118.494998,34.016521999999995,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
10,283,4TH NB & PICO FS,-118.48766200000001,34.010065000000004,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
11,338,MAIN NB & OCEAN PARK FS,-118.483979,34.002410999999995,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
12,360,MAIN NB & WESTMINSTER FS,-118.47261999999999,33.990196999999995,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
13,361,MAIN NB & ABBOT KINNEY NS,-118.47405400000001,33.992288,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
14,362,MAIN NB & SUNSET FS,-118.47636000000001,33.994576,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
15,363,MAIN NB & ROSE NS,-118.477639,33.996103999999995,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
16,364,MAIN NB & ASHLAND NS,-118.48106100000001,33.999526,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
17,365,MAIN NB & HOLLISTER NS,-118.485685,34.004108,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
18,366,MAIN NB & PACIFIC NS,-118.487292,34.005609,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
19,367,MAIN NB & BAY NS,-118.48891,34.007163,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
20,368,SANTA MONICA EB & LINCOLN NS,-118.49141599999999,34.019472,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
21,369,SANTA MONICA EB & 11TH NS,-118.488553,34.021731,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
22,370,SANTA MONICA EB & 14TH NS,-118.48573300000001,34.023990999999995,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
23,373,SANTA MONICA EB & 20TH FS,-118.47988600000001,34.028707,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
24,374,SANTA MONICA EB & 22ND FS,-118.478122,34.030141,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
25,375,SANTA MONICA EB & CLOVERFIELD FS,-118.47681499999999,34.031208,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
26,376,SANTA MONICA EB & 26TH NS,-118.47431100000001,34.033225,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
27,378,SANTA MONICA EB & BERKELEY NS,-118.46963799999999,34.036981,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
28,379,SANTA MONICA EB & WELLESLEY NS,-118.46554099999999,34.039484,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
29,380,SANTA MONICA EB & BROCKTON NS,-118.461421,34.041306,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
30,381,SANTA MONICA EB & BARRINGTON NS,-118.45606799999999,34.043667,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
31,382,SANTA MONICA EB & FEDERAL FS,-118.453724,34.044726000000004,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
32,384,SANTA MONICA EB & CORINTH NS,-118.44963500000001,34.046092,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
33,385,SANTA MONICA EB & SAWTELLE NS,-118.448457,34.046433,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
34,387,SANTA MONICA EB & SEPULVEDA FS,-118.44363700000001,34.047755,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
35,388,SANTA MONICA EB & VETERAN NS,-118.440125,34.048743,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
36,389,WESTWOOD NB & SANTA MONICA FS,-118.43751999999999,34.050456,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
37,395,WESTWOOD NB & MASSACHUSETTS NS,-118.438624,34.051805,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
38,396,WESTWOOD NB & OHIO NS,-118.440615,34.054058000000005,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
39,397,WESTWOOD NB & ROCHESTER NS,-118.442168,34.056078,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
40,398,WESTWOOD NB & WILSHIRE NS,-118.443821,34.058733000000004,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
41,402,WESTWOOD NB & WEYBURN NS,-118.44525800000001,34.062525,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
42,403,LE CONTE EB & TIVERTON NS,-118.442586,34.063656,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
43,405,HILGARD NB & MANNING AVE NS,-118.439568,34.066514,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
44,406,HILGARD NB & WESTHOLME NS,-118.438864,34.069494,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
45,1115,MAIN NB & MARINE NS,-118.479519,33.997989000000004,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
46,1149,WESTWOOD PLAZA NB & J STEIN EYE FS,-118.44523000000001,34.065102,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
47,1234,SANTA MONICA EB & 17TH FS,-118.48275,34.026412,Big Blue Bus,2981,1,Main St & Santa Monica Blvd/UCLA
