,stop_id,stop_name,stop_lon,stop_lat,agency,route_id,route_short_name,route_long_name
0,1,WINDWARD AVE/MAIN ST,-118.471525,33.987966,Culver CityBus,1-330,1,Washington Boulevard
1,1500,EXPO CULVER CITY STATION,-118.38731499999999,34.02783,Culver CityBus,1-330,1,Washington Boulevard
2,435,INCE PARKING GARAGE,-118.39171100000002,34.025225,Culver CityBus,1-330,1,Washington Boulevard
3,44,WASHINGTON BLVD/FAIRFAX AVE,-118.36936100000001,34.03472,Culver CityBus,1-330,1,Washington Boulevard
4,45,WASHINGTON BLVD/COMEY AVE,-118.37355,34.03295,Culver CityBus,1-330,1,Washington Boulevard
5,46,WASHINGTON BLVD/LA CIENEGA BLVD,-118.37496200000001,34.032348,Culver CityBus,1-330,1,Washington Boulevard
6,47,WASHINGTON BLVD/MCMANUS AVE,-118.37942199999999,34.031053,Culver CityBus,1-330,1,Washington Boulevard
7,48,WASHINGTON BLVD/CATTARAUGUS AVE,-118.38165900000001,34.030466,Culver CityBus,1-330,1,Washington Boulevard
8,49,WASHINGTON BLVD/HELMS AVE,-118.383772,34.029899,Culver CityBus,1-330,1,Washington Boulevard
9,51,WASHINGTON BLVD/ROBERTSON BLVD,-118.390662,34.025813,Culver CityBus,1-330,1,Washington Boulevard
10,52,CULVER BLVD/MAIN ST,-118.394462,34.02417,Culver CityBus,1-330,1,Washington Boulevard
11,53,WASHINGTON BLVD/HUGHES AVE,-118.397341,34.021842,Culver CityBus,1-330,1,Washington Boulevard
12,54,WASHINGTON BLVD/CLARINGTON AVE,-118.398853,34.020976,Culver CityBus,1-330,1,Washington Boulevard
13,55,WASHINGTON BLVD/JASMINE AVE,-118.400346,34.020062,Culver CityBus,1-330,1,Washington Boulevard
14,56,WASHINGTON BLVD/MOTOR AVE,-118.402477,34.018789,Culver CityBus,1-330,1,Washington Boulevard
15,57,WASHINGTON BLVD/OVERLAND AVE,-118.40533,34.017083,Culver CityBus,1-330,1,Washington Boulevard
16,58,WASHINGTON BLVD/CULVER CENTER,-118.40666399999999,34.015966999999996,Culver CityBus,1-330,1,Washington Boulevard
17,59,WASHINGTON BLVD/ELENDA ST,-118.40950900000001,34.013363,Culver CityBus,1-330,1,Washington Boulevard
18,60,WASHINGTON BLVD/PROSPECT AVE,-118.410261,34.012339000000004,Culver CityBus,1-330,1,Washington Boulevard
19,61,WASHINGTON BLVD/HARTER AVE,-118.41180800000001,34.009543,Culver CityBus,1-330,1,Washington Boulevard
20,62,WASHINGTON BLVD/SEPULVEDA BLVD,-118.41326000000001,34.006963,Culver CityBus,1-330,1,Washington Boulevard
21,63,WASHINGTON BLVD/SAWTELLE BLVD,-118.414855,34.004059000000005,Culver CityBus,1-330,1,Washington Boulevard
22,64,WASHINGTON BLVD/BERRYMAN AVE,-118.416463,34.001121000000005,Culver CityBus,1-330,1,Washington Boulevard
23,65,WASHINGTON BLVD/EAST BLVD,-118.418411,33.999663,Culver CityBus,1-330,1,Washington Boulevard
24,66,WASHINGTON BLVD/INGLEWOOD BLVD,-118.422726,33.99772,Culver CityBus,1-330,1,Washington Boulevard
25,67,WASHINGTON BLVD/GRAND VIEW BLVD,-118.425825,33.99738,Culver CityBus,1-330,1,Washington Boulevard
26,68,WASHINGTON BLVD/CENTINELA AVE,-118.429047,33.99705,Culver CityBus,1-330,1,Washington Boulevard
27,69,WASHINGTON BLVD/WASHINGTON PL,-118.43420900000001,33.996997,Culver CityBus,1-330,1,Washington Boulevard
28,70,WASHINGTON BLVD/MEIER ST,-118.436495,33.99624,Culver CityBus,1-330,1,Washington Boulevard
29,71,WASHINGTON BLVD/BEETHOVEN ST,-118.438143,33.995412,Culver CityBus,1-330,1,Washington Boulevard
30,72,WASHINGTON BLVD/REDWOOD AVE,-118.442619,33.993190000000006,Culver CityBus,1-330,1,Washington Boulevard
31,73,WASHINGTON BLVD/GLENCOE AVE,-118.445775,33.991593,Culver CityBus,1-330,1,Washington Boulevard
32,74,WASHINGTON BLVD/LINCOLN BLVD,-118.448435,33.990269,Culver CityBus,1-330,1,Washington Boulevard
33,75,WASHINGTON BLVD/ABBOT KINNEY BLVD,-118.452592,33.988081,Culver CityBus,1-330,1,Washington Boulevard
34,76,WASHINGTON BLVD/OXFORD AVE,-118.454788,33.986723,Culver CityBus,1-330,1,Washington Boulevard
35,77,WASHINGTON BLVD/WILSON AVE,-118.457357,33.9851,Culver CityBus,1-330,1,Washington Boulevard
36,78,WASHINGTON BLVD/OCEAN AVE,-118.461357,33.982544,Culver CityBus,1-330,1,Washington Boulevard
