,Unnamed: 0,stop_id,stop_name,stop_lon,stop_lat,agency
0,0,7086,Historic Folsom Station (WB),-121.180467,38.67545,Sacramento Regional Transit.csv
1,1,7087,Glenn Station (WB),-121.183667,38.662733,Sacramento Regional Transit.csv
2,2,7088,Iron Point Station (WB),-121.190567,38.644317,Sacramento Regional Transit.csv
3,3,7089,Hazel Station (WB),-121.212754,38.630217,Sacramento Regional Transit.csv
4,4,7066,Sunrise Station (WB),-121.267248,38.606523,Sacramento Regional Transit.csv
5,5,7067,Cordova Town Center Station (WB),-121.283655,38.598441,Sacramento Regional Transit.csv
6,6,7068,Zinfandel Station (WB),-121.290917,38.594833,Sacramento Regional Transit.csv
7,7,7069,Mather Field/Mills Station (WB),-121.311617,38.584483,Sacramento Regional Transit.csv
8,8,7070,Butterfield Station (WB),-121.34708700000002,38.566977,Sacramento Regional Transit.csv
9,9,7071,Tiber Station (WB),-121.353483,38.563817,Sacramento Regional Transit.csv
10,10,7072,Starfire Station (WB),-121.362547,38.559245,Sacramento Regional Transit.csv
11,11,7073,Watt/Manlove Station (WB),-121.373651,38.553684,Sacramento Regional Transit.csv
12,12,7074,College Greens Station (WB),-121.393899,38.547035,Sacramento Regional Transit.csv
13,13,7075,Power Inn Station (WB),-121.4081,38.547483,Sacramento Regional Transit.csv
14,14,7076,University/65th Street Station (WB),-121.42748600000002,38.552648,Sacramento Regional Transit.csv
15,15,7077,59th Street Station (WB),-121.436289,38.554995,Sacramento Regional Transit.csv
16,16,7078,48th Street Station (WB),-121.449346,38.558592,Sacramento Regional Transit.csv
17,17,7079,39th Street Station (WB),-121.457653,38.56087,Sacramento Regional Transit.csv
18,18,7080,29th Street Station (WB),-121.47155,38.564667,Sacramento Regional Transit.csv
19,19,7081,23rd Street Station (WB),-121.479207,38.566701,Sacramento Regional Transit.csv
20,20,7032,16th Street Station (WB),-121.489998,38.570121,Sacramento Regional Transit.csv
21,21,7033,13th Street Station (WB),-121.493783,38.571133,Sacramento Regional Transit.csv
22,22,7034,Archives Plaza Station (WB),-121.494278,38.574381,Sacramento Regional Transit.csv
23,23,7035,8th & O Station (WB),-121.498084,38.575439,Sacramento Regional Transit.csv
24,24,7036,8th & Capitol Station (WB),-121.49773,38.577521,Sacramento Regional Transit.csv
25,25,7091,8th & K Station (NB),-121.496515,38.580371,Sacramento Regional Transit.csv
26,26,7095,8th & H Station (NB),-121.495389,38.58292,Sacramento Regional Transit.csv
27,27,7092,Sacramento Valley Station (WB),-121.500439,38.58462700000001,Sacramento Regional Transit.csv
28,28,7093,Sacramento Valley Station (EB),-121.499307,38.584323,Sacramento Regional Transit.csv
29,29,7090,7th & I/County Center Station (SB),-121.496864,38.582585,Sacramento Regional Transit.csv
30,30,7013,7th & Capitol Station (SB),-121.498721,38.578258,Sacramento Regional Transit.csv
31,31,7014,8th & O Station (EB),-121.49868,38.575579,Sacramento Regional Transit.csv
32,32,7015,Archives Plaza Station (EB),-121.494718,38.574401,Sacramento Regional Transit.csv
33,33,7016,13th Street Station (EB),-121.492983,38.570836,Sacramento Regional Transit.csv
34,34,7017,16th Street Station (EB),-121.489018,38.569773,Sacramento Regional Transit.csv
35,35,7050,23rd Street Station (EB),-121.47855,38.566433,Sacramento Regional Transit.csv
36,36,7051,29th Street Station (EB),-121.47055,38.564317,Sacramento Regional Transit.csv
37,37,7052,39th Street Station (EB),-121.456583,38.560463,Sacramento Regional Transit.csv
38,38,7053,48th Street Station (EB),-121.4483,38.5582,Sacramento Regional Transit.csv
39,39,7054,59th Street Station (EB),-121.43524,38.554607,Sacramento Regional Transit.csv
40,40,7055,University/65th Street Station (EB),-121.426566,38.5523,Sacramento Regional Transit.csv
41,41,7056,Power Inn Station (EB),-121.406916,38.547217,Sacramento Regional Transit.csv
42,42,7057,College Greens Station (EB),-121.392775,38.547077,Sacramento Regional Transit.csv
43,43,7058,Watt/Manlove Station (EB),-121.372654,38.554066,Sacramento Regional Transit.csv
44,44,7059,Starfire Station (EB),-121.361369,38.559731,Sacramento Regional Transit.csv
45,45,7060,Tiber Station (EB),-121.352457,38.564211,Sacramento Regional Transit.csv
46,46,7061,Butterfield Station (EB),-121.34606200000002,38.567361,Sacramento Regional Transit.csv
47,47,7062,Mather Field/Mills Station (EB),-121.310611,38.584973,Sacramento Regional Transit.csv
48,48,7063,Zinfandel Station (EB),-121.289773,38.595294,Sacramento Regional Transit.csv
49,49,7064,Cordova Town Center Station (EB),-121.282502,38.59887,Sacramento Regional Transit.csv
50,50,7065,Sunrise Station (EB),-121.266108,38.606965,Sacramento Regional Transit.csv
51,51,7082,Hazel Station (EB),-121.211678,38.63062100000001,Sacramento Regional Transit.csv
52,52,7083,Iron Point Station (EB),-121.189683,38.644967,Sacramento Regional Transit.csv
53,53,7084,Glenn Station (EB),-121.183633,38.663667,Sacramento Regional Transit.csv
54,54,7085,Historic Folsom Station (EB),-121.180717,38.67635,Sacramento Regional Transit.csv
55,55,7096,Township 9 Station (EB),-121.491473,38.596128,Sacramento Regional Transit.csv
56,56,7094,Township 9 Station (WB),-121.491698,38.596304,Sacramento Regional Transit.csv
57,57,7037,St Rose of Lima Park Station (EB),-121.495491,38.579557,Sacramento Regional Transit.csv
58,58,7000,Watt/I-80 Station (WB),-121.384812,38.644922,Sacramento Regional Transit.csv
59,59,7001,Watt/I-80 West Station (WB),-121.39505,38.642622,Sacramento Regional Transit.csv
60,60,7002,Roseville Road Station (WB),-121.40266499999998,38.638011,Sacramento Regional Transit.csv
61,61,7003,Marconi/Arcade Station (WB),-121.425055,38.621087,Sacramento Regional Transit.csv
62,62,7004,Employee Platform Station (WB),-121.430783,38.61585,Sacramento Regional Transit.csv
63,63,7005,Swanston Station (WB),-121.439848,38.607435,Sacramento Regional Transit.csv
64,64,7006,Royal Oaks Station (WB),-121.448177,38.606247,Sacramento Regional Transit.csv
65,65,7007,Arden/Del Paso Station (WB),-121.457376,38.606316,Sacramento Regional Transit.csv
66,66,7008,Globe Avenue Station (WB),-121.4664,38.602633,Sacramento Regional Transit.csv
67,67,7009,Alkali Flat/La Valentina Station (SB),-121.4883,38.585212,Sacramento Regional Transit.csv
68,68,7010,12th & I Station (SB),-121.490233,38.580833,Sacramento Regional Transit.csv
69,69,7011,Cathedral Square Station (WB),-121.493576,38.579171,Sacramento Regional Transit.csv
70,70,7018,Broadway Station (EB),-121.488238,38.559182,Sacramento Regional Transit.csv
