,stop_id,route_short_name,route_id,Stop ID,Name,Agency,OB Routes,OB AM Peak,OB PM Peak,OB Weekday,OB Saturday,OB Sunday,IB Routes,IB AM Peak,IB PM Peak,IB Weekday,IB Saturday,IB Sunday
0,290,81,081,290,65TH ST & WEST END ISLAND 2 (EB),Sacramento Regional Transit,81,26.67,30.0,30.0,64.62,60.0,81,34.29,34.29,32.0,52.5,64.62
1,290,81,081,290,65TH ST & WEST END ISLAND 2 (EB),Sacramento Regional Transit,81,,,,56.0,,81,240.0,240.0,480.0,76.36,
2,377,72,072,377,WATT/MANLOVE LRS & BAY 2 (SB),Sacramento Regional Transit,72,26.67,30.0,32.0,84.0,76.36,72,34.29,48.0,45.71,70.0,120.0
3,377,72,072,377,WATT/MANLOVE LRS & BAY 2 (SB),Sacramento Regional Transit,72,240.0,,960.0,840.0,,72,240.0,80.0,120.0,,210.0
4,291,87,087,291,65TH ST & EAST END ISLAND 2 (EB),Sacramento Regional Transit,"65, 87",26.67,21.82,30.97,93.33,84.0,"65, 87",60.0,26.67,36.92,105.0,84.0
5,291,87,087,291,65TH ST & EAST END ISLAND 2 (EB),Sacramento Regional Transit,"65, 87",80.0,120.0,87.27,210.0,,"65, 87",40.0,80.0,64.0,168.0,
6,291,65,065,291,65TH ST & EAST END ISLAND 2 (EB),Sacramento Regional Transit,"65, 87",26.67,21.82,30.97,93.33,84.0,"65, 87",60.0,26.67,36.92,105.0,84.0
7,291,65,065,291,65TH ST & EAST END ISLAND 2 (EB),Sacramento Regional Transit,"65, 87",80.0,120.0,87.27,210.0,,"65, 87",40.0,80.0,64.0,168.0,
8,2945,26,026,2945,LUCE AVE & PEACEKEEPER WAY (NB),Sacramento Regional Transit,"85, 26",21.82,30.0,40.0,,,26,240.0,60.0,87.27,,
9,2945,26,026,2945,LUCE AVE & PEACEKEEPER WAY (NB),Sacramento Regional Transit,26,80.0,48.0,73.85,,,26,48.0,60.0,64.0,,
10,3131,51,051,3131,65TH ST & SKY PKWY (EB),Sacramento Regional Transit,"55, 67, 65, 81, 51, 68, 47",5.33,6.0,6.67,14.0,15.0,"55, 67, 51, 68, 47",8.0,7.27,7.68,16.8,16.15
11,3131,51,051,3131,65TH ST & SKY PKWY (EB),Sacramento Regional Transit,"55, 67, 65, 81, 51, 68, 47",21.82,17.14,16.27,26.25,64.62,"55, 67, 51, 47",34.29,48.0,60.0,44.21,140.0
